frequency_hz,quantity,observed,predicted,standard_error,weighted_residual
18.75,log10_resistivity,2.3660162226762065,2.4236678121122917,0.02171472409516259,2.6549538084588544
18.75,phase_deg,41.97861128183803,47.94059975822136,2.0,2.98099423819167
16.25,log10_resistivity,2.3675037478634655,2.414850821856198,0.02171472409516259,2.180413335451045
16.25,phase_deg,42.74080680451514,47.18812538045203,2.0,2.223659287968445
13.75,log10_resistivity,2.3567786572882023,2.404016627810396,0.02171472409516259,2.175388934953907
13.75,phase_deg,43.46660884546244,46.199152870608536,2.0,1.3662720125730488
11.25,log10_resistivity,2.3513417441604436,2.3903890064824047,0.02171472409516259,1.7981928828955138
11.25,phase_deg,43.75597652609089,44.722943792640365,2.0,0.4834836332747372
9.375,log10_resistivity,2.3447425186871267,2.3787241978427747,0.02171472409516259,1.5649141571740306
9.375,phase_deg,45.58744273457471,42.981774958675906,2.0,-1.3028338879494044
8.125,log10_resistivity,2.3386576550437908,2.3714784450122073,0.02171472409516259,1.5114532344312883
8.125,phase_deg,44.81538681504007,41.295137595630266,2.0,-1.7601246097049028
6.875,log10_resistivity,2.302444923917949,2.3669670391589235,0.02171472409516259,2.9713532144462262
6.875,phase_deg,46.80046001337846,38.96078332298909,2.0,-3.919838345194691
