Stations,Easting_X_m,Northing_Y_m,Elev_H_m,x_m,Norm_h_m,offsets_m,DOI_max_m,dep_38,dep_76,dep_114,dep_152,dep_190,dep_228,dep_266,dep_304,dep_342,dep_380,dep_418,dep_456,dep_494,dep_532,dep_570,dep_608,dep_646,dep_684,dep_722,dep_760,dep_798,dep_836,dep_874,dep_912,res_38,res_76,res_114,res_152,res_190,res_228,res_266,res_304,res_342,res_380,res_418,res_456,res_494,res_532,res_570,res_608,res_646,res_684,res_722,res_760,res_798,res_836,res_874,res_912
S31,449907.90998,2880597.85997,470.55,1550,69.5,1541.9,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.4774675,2.68045525,2.8367164999999996,2.963896,3.06547675,3.150777,3.22594225,3.2614185,3.482935,3.55230925,3.5939175,3.6155855,3.60650675,3.556937,3.4775435,3.39072875,3.3180630000000004,3.27971875,3.29317175,3.35270725,3.490674,3.674539,3.8171877499999995,3.9043417500000004
S32,449947.58498,2880568.40997,462.85,1600,61.80000000000001,1604.9,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.45463525,2.6790517499999997,2.8959597500000003,3.0899557499999997,3.2502524999999998,3.37728475,3.47740275,3.5216275,3.58504325,3.6632735,3.7052025000000004,3.72482825,3.709987,3.64752725,3.55222,3.4505825,3.36408675,3.31405575,3.3196969999999997,3.33727,3.517164,3.69517525,3.83185225,3.91504625
S33,449989.50498,2880541.15997,450.4,1650,49.349999999999966,1644.9,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.2448135,2.2605675,2.3322754999999997,2.4203845,2.5044482500000003,2.57885025,2.6474995,2.6811305,2.70959575,2.8382275,2.9651222499999994,3.07946525,3.17200525,3.23361425,3.2691037499999998,3.2778575,3.264889,3.26476875,3.30409775,3.3350774999999997,3.370482928571428,3.410314035714285,3.45457082142857,3.4988276071428555
S34,450029.86498,2880514.98497,435.4,1700,34.349999999999966,1707.9,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.28429775,2.3053565,2.30930475,2.29364225,2.26488025,2.2417795000000003,2.2351272499999997,2.2471552499999996,2.31311625,2.435532,2.57004875,2.7003624999999998,2.8207579999999997,2.92634875,3.0255437499999998,3.10416925,3.15008425,3.19732325,3.2709075,3.3696624999999996,3.52953875,3.71969325,3.860241,3.9439565
S35,450070.30997,2880487.28497,427.75,1750,26.69999999999999,1747.9,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,1.5423882500000001,1.4704750000000002,1.407178,1.3722102499999997,1.40762675,1.5094742499999998,1.6407517499999997,1.7090195,1.915013,2.10738,2.25314875,2.3676835,2.47022825,2.5215425,2.634837,2.7669187500000003,2.90069175,3.04209775,3.19233175,3.3445665,3.540671,3.7511377500000003,3.89907,3.98448975
S36,450112.80998,2880459.04497,415.05,1800,14.0,1810.9,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,1.69143775,1.438013,1.27999,1.2300655,1.30035825,1.4557337499999998,1.64136175,1.8245285000000002,2.02942075,2.21884425,2.334489,2.39992225,2.4436419999999996,2.4643319999999997,2.55606525,2.649836,2.797705,2.9759367500000002,3.16074125,3.25252,3.5661604999999996,3.794589,3.9486665,4.03503125
S37,450155.17998,2880432.94997,401.05,1850,0.0,1850.9,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.00953925,2.2872932500000003,2.49667625,2.6669815,2.804749,2.9168780000000005,3.0062105,3.0718812499999997,3.1217175,3.13439725,3.0863027499999998,2.9907225,2.8557722500000002,2.7788405,2.6762648333333328,2.5736891666666653,2.4454695833333315,2.2916060833333307,2.13774258333333,1.9582351666666622,1.7530838333333276,1.5222885833333264,1.2658494166666585,1.0094102499999904
S38,450195.14498,2880403.29497,401.4,1900,0.3499999999999659,1913.9,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.3939485,2.6925627499999996,2.96783825,3.21340675,3.42016775,3.58672,3.7146855,3.8062115,3.86318025,3.8667365,3.813085,3.72779525,3.62348775,3.50863125,3.3430005,3.1405537500000005,2.9754605,2.89232725,2.92145325,3.1046537499999998,3.424321,3.7608247500000003,4.05239,4.302916
S39,450230.74498,2880373.58997,404.0,1950,2.9499999999999886,1953.9,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,2.1238055,2.51885825,2.8020672500000003,3.02158575,3.1836805,3.3009225,3.38453925,3.418996,3.3969862500000003,3.4042927499999998,3.3473725,3.236109,3.063681,2.8473647499999997,2.6174187499999997,2.51138,2.635297,2.8832692499999997,3.1429164999999997,3.3691975,3.61346025,3.8524752500000004,4.010104500000001,4.096518
S40,450269.36998,2880346.39497,401.55,2000,0.5,1993.9,-912,-38.0,-76.0,-114.0,-152.0,-190.0,-228.0,-266.0,-304.0,-342.0,-380.0,-418.0,-456.0,-494.0,-532.0,-570.0,-608.0,-646.0,-684.0,-722.0,-760.0,-798.0,-836.0,-874.0,-912.0,1.7196627500000001,2.0026175,2.1898675,2.315263,2.404189,2.478926,2.5523135000000003,2.6317725000000003,2.73799625,2.84841875,2.9122969999999997,2.91560925,2.8456512499999995,2.7900225,2.4809215,2.43160075,2.6040727500000003,2.8960825000000003,3.1853732499999996,3.4253532499999997,3.67530175,3.9173159999999996,4.0735452500000005,4.1584235
