stations,easting_x_m,northing_y_m,elev_h_m,x_m,norm_h_m,offsets_m,doi_max_m,dep_38,rho_38
S14,449735.12499,2882318.8749599997,463.5,700,32.399999999999984,699.8,-912,-38.0,2.72931675
S15,449782.35498999996,2882302.1849599998,461.2,750,30.099999999999966,762.6,-912,-38.0,2.57415625
S16,449829.57998999994,2882285.49496,459.2,800,28.099999999999966,798.8,-912,-38.0,2.171626
S17,449876.80499,2882268.79996,455.95,850,24.849999999999966,850.8,-912,-38.0,2.6204997500000005
S18,449924.02998999995,2882252.1049599997,451.95,900,20.84999999999997,913.6,-912,-38.0,2.718052
S19,449971.25499,2882235.4149599997,448.85,950,17.75,965.8,-912,-38.0,2.4978155
S20,450018.48498999997,2882218.72496,446.25,1000,15.149999999999974,1001.8,-912,-38.0,2.59471
S21,450065.70998999994,2882202.02996,442.9,1050,11.799999999999955,1057.8,-912,-38.0,2.30332525
S22,450112.93499,2882185.3349599997,444.7,1100,13.599999999999964,1093.8,-912,-38.0,2.39343775
S23,450160.16498999996,2882168.6449599997,446.3,1150,15.199999999999989,1145.8,-912,-38.0,1.872456
S24,450207.38998999994,2882151.95496,443.8,1200,12.699999999999989,1208.8,-912,-38.0,2.0238732500000003
S25,450254.61499,2882135.25996,443.65,1250,12.549999999999955,1260.8,-912,-38.0,1.57350425
S26,450301.84498999995,2882118.5649599996,440.9,1300,9.799999999999956,1296.8,-912,-38.0,1.39916155
S27,450349.06999,2882101.8749599997,437.75,1350,6.649999999999977,1348.8,-912,-38.0,1.9904110000000002
S28,450396.29498999997,2882085.1849599998,435.45,1400,4.349999999999966,1411.8,-912,-38.0,2.67988125
S29,450443.51998999994,2882068.48996,431.1,1450,0.0,1447.8,-912,-38.0,1.7113759999999998
S30,450490.74499,2882051.7949599996,446.75,1500,15.649999999999974,1499.8,-912,-38.0,2.199596
S00,449942.58998999995,2882422.03496,464.75,0,35.0,11.0,-912,-38.0,2.104966
S01,449989.64498999994,2882405.19996,453.85,50,24.100000000000023,61.4,-912,-38.0,2.35561925
S02,450036.69499,2882388.36496,450.3,100,20.55000000000001,114.9,-912,-38.0,2.67153525
S03,450083.74999,2882371.53496,450.15,150,20.399999999999977,177.7,-912,-38.0,2.8751870000000004
S04,450130.80499,2882354.70496,449.1,200,19.350000000000023,231.2,-912,-38.0,2.9310132500000003
S05,450177.85998999997,2882337.8749599997,443.9,250,14.149999999999974,266.4,-912,-38.0,2.574729
S06,450224.91498999996,2882321.0449599996,438.6,300,8.850000000000025,320.5,-912,-38.0,2.5373905
S07,450271.96498999995,2882304.21496,437.15,350,7.399999999999977,355.7,-912,-38.0,2.571911
S08,450319.01998999994,2882287.38496,442.6,400,12.850000000000026,409.8,-912,-38.0,2.7963672500000003
S09,450366.07498999994,2882270.55496,447.35,450,17.600000000000023,468.4,-912,-38.0,2.9745355000000004
S10,450413.12999,2882253.72496,438.7,500,8.949999999999989,522.0,-912,-38.0,2.6755935
S11,450460.18499,2882236.8949599997,429.75,550,0.0,561.3,-912,-38.0,2.24600975
S00,452344.11998,2887269.33497,652.45,0,60.55000000000007,10.9,-912,-38.0,2.16634575
S01,452379.57498000003,2887234.6249700002,651.8,50,59.899999999999984,60.1,-912,-38.0,2.30324525
S02,452415.02998,2887199.91997,642.3,100,50.399999999999984,101.1,-912,-38.0,1.7399575
S03,452450.48498,2887165.21497,624.4,150,32.5,163.9,-912,-38.0,1.6392837500000002
S04,452485.93998,2887130.50497,610.65,200,18.75,205.1,-912,-38.0,2.35295725
S05,452521.39498000004,2887095.79997,606.65,250,14.75,266.6,-912,-38.0,2.63158475
